n	num	area	avg_vel	std_vel	max_vel	avg_x	avg_y	std_x	std_y	max_x	max_y	num1	num2	num3	num4	num5
1081	132	13192.0	1.86	0.1	5.2	0.99	0.9	0.09	0.1	4.96	5.0	39	57	33	2	1
1082	104	12546.0	1.86	0.12	4.89	0.99	0.81	0.12	0.13	4.62	4.72	27	45	27	4	1
1083	129	15572.0	1.84	0.11	5.02	1.06	0.88	0.1	0.11	4.49	4.64	34	60	29	5	1
1084	109	13358.0	1.83	0.11	5.45	1.05	0.76	0.12	0.11	4.56	5.13	27	52	25	3	2
1085	115	14488.0	1.87	0.1	4.99	1.18	0.93	0.09	0.09	4.54	4.73	40	40	26	8	1
1086	123	14697.0	1.77	0.11	5.09	0.86	0.65	0.11	0.11	4.35	4.9	33	58	26	3	3
1087	103	14186.0	1.82	0.11	5.24	0.89	0.92	0.11	0.11	4.56	5.02	28	39	30	3	3
1088	106	11391.0	1.78	0.11	5.66	1.0	0.56	0.11	0.11	4.45	5.3	37	41	22	4	2
1089	131	15574.0	1.75	0.09	5.05	1.04	0.8	0.09	0.1	5.03	4.7	49	41	33	6	2
1090	107	13500.0	1.78	0.11	5.26	1.0	0.82	0.12	0.11	4.53	5.07	33	39	28	5	2
1091	126	17192.0	1.8	0.1	5.7	1.06	0.84	0.1	0.1	4.5	5.44	37	48	34	3	4
1092	107	12846.0	1.91	0.12	5.36	1.01	0.66	0.12	0.12	4.98	5.01	32	46	24	3	2
1093	123	15262.0	1.83	0.1	5.73	1.02	0.88	0.09	0.11	4.74	5.59	40	46	30	4	3
1094	107	13990.0	1.82	0.12	5.1	0.94	0.79	0.11	0.13	3.88	4.78	31	43	27	4	2
1095	120	14673.0	1.85	0.11	5.83	1.06	0.82	0.1	0.11	4.63	5.51	37	45	33	3	2
1096	123	15383.0	1.78	0.1	5.44	0.91	0.84	0.11	0.1	4.22	5.16	39	47	28	7	2
1097	119	14743.0	1.83	0.1	5.34	1.01	0.79	0.1	0.11	4.96	4.98	50	38	24	4	3
1098	111	15202.0	1.77	0.11	5.48	0.97	0.67	0.11	0.13	4.43	5.13	33	44	28	3	3
1099	130	15835.0	1.95	0.11	6.0	1.13	0.65	0.12	0.12	4.7	5.37	49	46	27	5	3
1100	105	14476.0	1.9	0.13	5.81	0.86	0.79	0.12	0.13	4.66	5.67	32	44	23	3	3
1101	123	14595.0	1.82	0.1	5.37	0.92	0.96	0.1	0.11	4.48	4.99	29	55	35	1	3
1102	121	14881.0	1.84	0.1	4.6	0.87	0.83	0.1	0.11	4.16	3.86	31	50	36	1	3
1103	118	16233.0	1.8	0.11	5.37	1.12	0.67	0.1	0.11	4.96	5.09	34	45	32	4	3
1104	113	13890.0	1.85	0.09	5.54	0.98	1.01	0.09	0.1	3.88	5.3	36	49	23	3	2
1105	112	16193.0	1.86	0.12	5.86	1.0	0.93	0.12	0.13	4.71	5.63	26	47	32	4	3
1106	114	13993.0	1.89	0.12	6.28	1.01	0.68	0.11	0.11	4.31	5.46	36	49	23	3	3
1107	144	20626.0	1.74	0.11	5.73	1.05	0.81	0.11	0.11	4.12	5.38	33	61	42	4	4
